Totales Territoriales;Provincias;Municipios;Grupos CNAE;Periodo;Total
Total Nacional;33 Asturias;33002 Aller;Otros servicios personales;2021;47
Total Nacional;33 Asturias;33002 Aller;Otros servicios personales;2020;51
Total Nacional;33 Asturias;33002 Aller;Otros servicios personales;2019;48
Total Nacional;33 Asturias;33002 Aller;Otros servicios personales;2018;48
Total Nacional;33 Asturias;33002 Aller;Otros servicios personales;2017;47
Total Nacional;33 Asturias;33002 Aller;Otros servicios personales;2016;46
Total Nacional;33 Asturias;33002 Aller;Otros servicios personales;2015;45
Total Nacional;33 Asturias;33002 Aller;Otros servicios personales;2014;44
Total Nacional;33 Asturias;33002 Aller;Otros servicios personales;2013;46
Total Nacional;33 Asturias;33002 Aller;Otros servicios personales;2012;47
Total Nacional;33 Asturias;33002 Aller;Total servicios;2025;139
Total Nacional;33 Asturias;33002 Aller;Total servicios;2024;128
Total Nacional;33 Asturias;33002 Aller;Total servicios;2023;134
Total Nacional;33 Asturias;33002 Aller;Total servicios;2022;150
Total Nacional;33 Asturias;33002 Aller;Total servicios;2021;148
Total Nacional;33 Asturias;33002 Aller;Total servicios;2020;147
Total Nacional;33 Asturias;33002 Aller;Total servicios;2019;142
Total Nacional;33 Asturias;33002 Aller;Total servicios;2018;134
Total Nacional;33 Asturias;33002 Aller;Total servicios;2017;134
Total Nacional;33 Asturias;33002 Aller;Total servicios;2016;141
Total Nacional;33 Asturias;33002 Aller;Total servicios;2015;136
Total Nacional;33 Asturias;33002 Aller;Total servicios;2014;121
Total Nacional;33 Asturias;33002 Aller;Total servicios;2013;120
Total Nacional;33 Asturias;33002 Aller;Total servicios;2012;119
