Nacionalidad;Periodo;Total
Argentina;1 de julio de 2024;8.300
Argentina;1 de abril de 2024;7.400
Argentina;1 de enero de 2024;7.900
Argentina;1 de octubre de 2023;7.300
Argentina;1 de julio de 2023;8.800
Argentina;1 de abril de 2023;8.600
Bolivia;1 de abril de 2026;..
Bolivia;1 de enero de 2026;..
Bolivia;1 de octubre de 2025;..
Bolivia;1 de julio de 2025;..
Bolivia;1 de abril de 2025;..
Bolivia;1 de enero de 2025;..
Bolivia;1 de octubre de 2024;..
Bolivia;1 de julio de 2024;..
Bolivia;1 de abril de 2024;..
Bolivia;1 de enero de 2024;..
Bolivia;1 de octubre de 2023;..
Bolivia;1 de julio de 2023;..
Bolivia;1 de abril de 2023;..
Brasil;1 de abril de 2026;7.200
Brasil;1 de enero de 2026;6.300
Brasil;1 de octubre de 2025;..
Brasil;1 de julio de 2025;..
Brasil;1 de abril de 2025;..
Brasil;1 de enero de 2025;..
Brasil;1 de octubre de 2024;..
Brasil;1 de julio de 2024;..
Brasil;1 de abril de 2024;..
Brasil;1 de enero de 2024;..
Brasil;1 de octubre de 2023;..
Brasil;1 de julio de 2023;..
Brasil;1 de abril de 2023;..
Colombia;1 de abril de 2026;38.600
Colombia;1 de enero de 2026;36.600
Colombia;1 de octubre de 2025;32.100
Colombia;1 de julio de 2025;36.100
Colombia;1 de abril de 2025;39.800
Colombia;1 de enero de 2025;43.400
Colombia;1 de octubre de 2024;34.600
Colombia;1 de julio de 2024;36.900
Colombia;1 de abril de 2024;39.200
Colombia;1 de enero de 2024;42.600
Colombia;1 de octubre de 2023;34.000
Colombia;1 de julio de 2023;37.700
Colombia;1 de abril de 2023;44.300
Chile;1 de abril de 2026;..
Chile;1 de enero de 2026;..
Chile;1 de octubre de 2025;..
Chile;1 de julio de 2025;..
Chile;1 de abril de 2025;..
Chile;1 de enero de 2025;..
Chile;1 de octubre de 2024;..
Chile;1 de julio de 2024;..
Chile;1 de abril de 2024;..
Chile;1 de enero de 2024;..
Chile;1 de octubre de 2023;..
Chile;1 de julio de 2023;..
Chile;1 de abril de 2023;..
Ecuador;1 de abril de 2026;..
Ecuador;1 de enero de 2026;..
Ecuador;1 de octubre de 2025;..
Ecuador;1 de julio de 2025;..
Ecuador;1 de abril de 2025;..
Ecuador;1 de enero de 2025;6.800
Ecuador;1 de octubre de 2024;..
Ecuador;1 de julio de 2024;..
Ecuador;1 de abril de 2024;..
Ecuador;1 de enero de 2024;6.200
Ecuador;1 de octubre de 2023;..
Ecuador;1 de julio de 2023;..
Ecuador;1 de abril de 2023;..
Paraguay;1 de abril de 2026;..
Paraguay;1 de enero de 2026;..
Paraguay;1 de octubre de 2025;..
Paraguay;1 de julio de 2025;..
Paraguay;1 de abril de 2025;..
Paraguay;1 de enero de 2025;..
Paraguay;1 de octubre de 2024;..
Paraguay;1 de julio de 2024;5.500
Paraguay;1 de abril de 2024;..
Paraguay;1 de enero de 2024;..
Paraguay;1 de octubre de 2023;..
Paraguay;1 de julio de 2023;..
Paraguay;1 de abril de 2023;..
Perú;1 de abril de 2026;16.700
